[INFO] 2025-06-09T03:49:37.980Z START RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e7f2f9266538f691bae81aa42aeb881fcfc1833e62d05d9141e808a0cb0095fa.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e7f2f9266538f691bae81aa42aeb881fcfc1833e62d05d9141e808a0cb0095fa.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e883ff130a9d34d26c58c15a735e96baab78aacec64abad0788f83f54423b943.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e883ff130a9d34d26c58c15a735e96baab78aacec64abad0788f83f54423b943.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_d215ba5497d3d3be2e105b2328e50bdccf602b7e0745016c80fa6f9913e5432f.json	 Bucket: denethor	 FilePath: mafdb/mafdb_d215ba5497d3d3be2e105b2328e50bdccf602b7e0745016c80fa6f9913e5432f.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_f871e6272680ce0853ce488fc481f480aa4e243fa14dd104803b05fb209cf094.json	 Bucket: denethor	 FilePath: mafdb/mafdb_f871e6272680ce0853ce488fc481f480aa4e243fa14dd104803b05fb209cf094.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_2ff7bb92e85df3f56dc7f35d3ca7b2bd150b675386145658d2fca63a9e2a3805.json	 Bucket: denethor	 FilePath: mafdb/mafdb_2ff7bb92e85df3f56dc7f35d3ca7b2bd150b675386145658d2fca63a9e2a3805.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_47fb2615fc585137c90363d35106c9022fdcc722571f7ed6d93a0e213c75c760.json	 Bucket: denethor	 FilePath: mafdb/mafdb_47fb2615fc585137c90363d35106c9022fdcc722571f7ed6d93a0e213c75c760.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_68e664a9a27eba1488202e5ea16bb79aee50d9c2456068b25a29d7ca46c1450f.json	 Bucket: denethor	 FilePath: mafdb/mafdb_68e664a9a27eba1488202e5ea16bb79aee50d9c2456068b25a29d7ca46c1450f.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_f6c9786df6a492206e55eb3d3911d34dbd753bfef23be22d8635d72135a7fbc7.json	 Bucket: denethor	 FilePath: mafdb/mafdb_f6c9786df6a492206e55eb3d3911d34dbd753bfef23be22d8635d72135a7fbc7.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_87129d44586b87142d9940a8b1bdbebcfa7b0454f32076964711670e9940a5bc.json	 Bucket: denethor	 FilePath: mafdb/mafdb_87129d44586b87142d9940a8b1bdbebcfa7b0454f32076964711670e9940a5bc.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_ffac685782ba2ceabfc02088f70f3473d570818cc3d9c58c8979a425bc171247.json	 Bucket: denethor	 FilePath: mafdb/mafdb_ffac685782ba2ceabfc02088f70f3473d570818cc3d9c58c8979a425bc171247.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
