file_id;file_name;file_bucket;file_path;file_size;file_hash_code
1;ORTHOMCL1;denethor;data/full_dataset/ORTHOMCL1;1662;
2;tree_ORTHOMCL1.nexus;denethor;tree/tree_ORTHOMCL1.nexus;339;
3;ORTHOMCL256;denethor;data/full_dataset/ORTHOMCL256;2666;
4;tree_ORTHOMCL256.nexus;denethor;tree/tree_ORTHOMCL256.nexus;640;
5;tree_ORTHOMCL1_Inner1.nexus;denethor;subtree/tree_ORTHOMCL1_Inner1.nexus;185;
6;tree_ORTHOMCL1_Inner2.nexus;denethor;subtree/tree_ORTHOMCL1_Inner2.nexus;185;
7;tree_ORTHOMCL1_Inner3.nexus;denethor;subtree/tree_ORTHOMCL1_Inner3.nexus;339;
8;tree_ORTHOMCL256_Inner1.nexus;denethor;subtree/tree_ORTHOMCL256_Inner1.nexus;187;
9;tree_ORTHOMCL256_Inner2.nexus;denethor;subtree/tree_ORTHOMCL256_Inner2.nexus;245;
10;tree_ORTHOMCL256_Inner3.nexus;denethor;subtree/tree_ORTHOMCL256_Inner3.nexus;301;
11;tree_ORTHOMCL256_Inner4.nexus;denethor;subtree/tree_ORTHOMCL256_Inner4.nexus;191;
12;tree_ORTHOMCL256_Inner5.nexus;denethor;subtree/tree_ORTHOMCL256_Inner5.nexus;421;
13;tree_ORTHOMCL256_Inner6.nexus;denethor;subtree/tree_ORTHOMCL256_Inner6.nexus;481;
14;tree_ORTHOMCL256_Inner7.nexus;denethor;subtree/tree_ORTHOMCL256_Inner7.nexus;539;
15;tree_ORTHOMCL256_Inner8.nexus;denethor;subtree/tree_ORTHOMCL256_Inner8.nexus;640;
16;mafdb_6f7a2b1116e6a791f68a03367473294792b679a6357b6789f3f993b1f83e2e80.json;denethor;mafdb/mafdb_6f7a2b1116e6a791f68a03367473294792b679a6357b6789f3f993b1f83e2e80.json;185;
17;mafdb_98e1a0698cbb3ad22654b18daf794e4cacd094e1e043d17e253b37083af465ed.json;denethor;mafdb/mafdb_98e1a0698cbb3ad22654b18daf794e4cacd094e1e043d17e253b37083af465ed.json;396;
18;mafdb_45cbc9bc03b36072876f03fb879a229fd9bd3bfaea1682dcf885c349b07fdac6.json;denethor;mafdb/mafdb_45cbc9bc03b36072876f03fb879a229fd9bd3bfaea1682dcf885c349b07fdac6.json;597;
19;ORTHOMCL320;denethor;data/full_dataset/ORTHOMCL320;3358;
20;tree_ORTHOMCL320.nexus;denethor;tree/tree_ORTHOMCL320.nexus;595;
