es_id;se_id;statistics_id;value_float;value_integer;value_string
93;50;3;;;['tree_ORTHOMCL374_Inner1.nexus', 'tree_ORTHOMCL374_Inner2.nexus', 'tree_ORTHOMCL374_Inner3.nexus', 'tree_ORTHOMCL374_Inner4.nexus', 'tree_ORTHOMCL374_Inner5.nexus', 'tree_ORTHOMCL374_Inner6.nexus', 'tree_ORTHOMCL374_Inner7.nexus']
94;50;4;;;
95;50;5;;;
96;50;6;7400.318752999965;;
97;51;7;;8;
196;99;6;3760.61639999989;;
197;100;3;;;['tree_ORTHOMCL320_Inner1.nexus', 'tree_ORTHOMCL320_Inner2.nexus', 'tree_ORTHOMCL320_Inner3.nexus', 'tree_ORTHOMCL320_Inner4.nexus', 'tree_ORTHOMCL320_Inner5.nexus', 'tree_ORTHOMCL320_Inner6.nexus', 'tree_ORTHOMCL320_Inner7.nexus']
198;100;4;;;
199;100;5;;;
200;100;6;2962.96891399993;;
278;141;1;3.4049610000010944;;
279;142;1;2.4439100000108738;;
