id;tag;file_name;file_size;duration_ms;metric_type;created_at;normalized_duration_ms
7389;tag_1746314421583;tree_ORTHOMCL1000_Inner1.nexus;187;126.91694399995868;download;2025-05-07 17:03:16.214641;
7390;tag_1746314421583;tree_ORTHOMCL1000_Inner2.nexus;243;91.60152599997673;download;2025-05-07 17:03:16.214641;
7391;tag_1746314421583;tree_ORTHOMCL1000_Inner3.nexus;191;134.7826769999756;download;2025-05-07 17:03:16.214641;
7392;tag_1746314421583;tree_ORTHOMCL1000_Inner4.nexus;405;124.79214299992236;download;2025-05-07 17:03:16.214641;
7393;tag_1746314421583;tree_ORTHOMCL1002_Inner1.nexus;187;99.82440999999653;download;2025-05-07 17:03:16.214641;
7394;tag_1746314421583;tree_ORTHOMCL1002_Inner2.nexus;185;100.3027279999742;download;2025-05-07 17:03:16.214641;
7395;tag_1746314421583;tree_ORTHOMCL1002_Inner3.nexus;243;99.8933120000629;download;2025-05-07 17:03:16.214641;
7396;tag_1746314421583;tree_ORTHOMCL1002_Inner4.nexus;405;119.26166800003557;download;2025-05-07 17:03:16.214641;
7397;tag_1746314421583;tree_ORTHOMCL1003_Inner1.nexus;185;99.87691900005302;download;2025-05-07 17:03:16.214641;
7398;tag_1746314421583;tree_ORTHOMCL1003_Inner2.nexus;187;99.77271900004325;download;2025-05-07 17:03:16.214641;
7399;tag_1746314421583;tree_ORTHOMCL1003_Inner3.nexus;243;119.76701899993714;download;2025-05-07 17:03:16.214641;
7400;tag_1746314421583;tree_ORTHOMCL1003_Inner4.nexus;405;99.81480900000861;download;2025-05-07 17:03:16.214641;
7401;tag_1746314421583;tree_ORTHOMCL1005_Inner1.nexus;185;99.87623500001064;download;2025-05-07 17:03:16.214641;
7402;tag_1746314421583;tree_ORTHOMCL1005_Inner2.nexus;185;124.42657500002952;download;2025-05-07 17:03:16.214641;
7403;tag_1746314421583;tree_ORTHOMCL1005_Inner3.nexus;243;114.83014899999944;download;2025-05-07 17:03:16.214641;
7404;tag_1746314421583;tree_ORTHOMCL1005_Inner4.nexus;405;99.91737500001818;download;2025-05-07 17:03:16.214641;
