[INFO] 2025-04-20T19:25:28.805Z FILE_METRICS_START RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 242.623261177 ms	 ExecutionTag: file_metrics_tag_1745177128804
[INFO] 2025-04-20T19:25:30.821Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1027	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1027	 FilePathLocal: /tmp/files	 FileSize: 4424 bytes	 TransferDuration: 79.91049899999325 ms
[INFO] 2025-04-20T19:25:30.901Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1029	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1029	 FilePathLocal: /tmp/files	 FileSize: 3323 bytes	 TransferDuration: 79.84106000000679 ms
[INFO] 2025-04-20T19:25:31.001Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1033	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1033	 FilePathLocal: /tmp/files	 FileSize: 4282 bytes	 TransferDuration: 99.74043000002553 ms
[INFO] 2025-04-20T19:25:31.082Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1034	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1034	 FilePathLocal: /tmp/files	 FileSize: 4954 bytes	 TransferDuration: 79.92731999999592 ms
[INFO] 2025-04-20T19:25:31.161Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1038	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1038	 FilePathLocal: /tmp/files	 FileSize: 4602 bytes	 TransferDuration: 79.69016999999212 ms
[INFO] 2025-04-20T19:25:31.261Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1039	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1039	 FilePathLocal: /tmp/files	 FileSize: 4621 bytes	 TransferDuration: 99.80031000000622 ms
[INFO] 2025-04-20T19:25:31.361Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1042	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1042	 FilePathLocal: /tmp/files	 FileSize: 3541 bytes	 TransferDuration: 99.82410099999584 ms
[INFO] 2025-04-20T19:25:31.441Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1043	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1043	 FilePathLocal: /tmp/files	 FileSize: 4042 bytes	 TransferDuration: 79.74664899998629 ms
[INFO] 2025-04-20T19:25:31.541Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1074	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1074	 FilePathLocal: /tmp/files	 FileSize: 4964 bytes	 TransferDuration: 99.8975790000145 ms
[INFO] 2025-04-20T19:25:31.622Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1083	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1083	 FilePathLocal: /tmp/files	 FileSize: 3087 bytes	 TransferDuration: 80.17204899999797 ms
[INFO] 2025-04-20T19:25:31.722Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1087	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1087	 FilePathLocal: /tmp/files	 FileSize: 4000 bytes	 TransferDuration: 99.83988999999838 ms
[INFO] 2025-04-20T19:25:31.821Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1092	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1092	 FilePathLocal: /tmp/files	 FileSize: 2936 bytes	 TransferDuration: 99.32299999999827 ms
[INFO] 2025-04-20T19:25:31.922Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1100	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1100	 FilePathLocal: /tmp/files	 FileSize: 3467 bytes	 TransferDuration: 100.25436000000809 ms
[INFO] 2025-04-20T19:25:32.002Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1104	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1104	 FilePathLocal: /tmp/files	 FileSize: 4686 bytes	 TransferDuration: 80.3762509999899 ms
