[INFO] 2025-05-03T23:19:08.770Z FILE_METRICS_START RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 S3Key: tree	 Provider: aws_lambda	 StartTime: 849.060403081 ms	 ExecutionTag: file_metrics_tag_1746314348750
[INFO] 2025-05-03T23:19:11.150Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1034.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1034.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 90.86701000001085 ms
[INFO] 2025-05-03T23:19:11.270Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1038.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1038.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.78022499999952 ms
[INFO] 2025-05-03T23:19:11.370Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1039.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1039.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.85398599997097 ms
[INFO] 2025-05-03T23:19:11.470Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1042.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1042.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.82530599995698 ms
[INFO] 2025-05-03T23:19:11.590Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1043.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1043.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 119.68512800001463 ms
[INFO] 2025-05-03T23:19:11.690Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1074.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1074.nexus	 FilePathLocal: /tmp/files	 FileSize: 397 bytes	 TransferDuration: 99.86827600005199 ms
[INFO] 2025-05-03T23:19:11.830Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1083.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1083.nexus	 FilePathLocal: /tmp/files	 FileSize: 397 bytes	 TransferDuration: 139.72083299995575 ms
[INFO] 2025-05-03T23:19:11.930Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1087.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1087.nexus	 FilePathLocal: /tmp/files	 FileSize: 395 bytes	 TransferDuration: 99.95464100006757 ms
[INFO] 2025-05-03T23:19:12.090Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1092.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1092.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 159.70010700004877 ms
[INFO] 2025-05-03T23:19:12.210Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1100.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1100.nexus	 FilePathLocal: /tmp/files	 FileSize: 413 bytes	 TransferDuration: 119.8011400000496 ms
[INFO] 2025-05-03T23:19:12.310Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1104.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1104.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.70708099990588 ms
[INFO] 2025-05-03T23:19:12.410Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1113.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1113.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.8445369999672 ms
[INFO] 2025-05-03T23:19:12.530Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1125.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1125.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.80625800003963 ms
[INFO] 2025-05-03T23:19:12.630Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1126.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1126.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.79957899997771 ms
[INFO] 2025-05-03T23:19:12.750Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1127.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1127.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.78530099997897 ms
[INFO] 2025-05-03T23:19:12.850Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1129.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1129.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 99.79615299994293 ms
[INFO] 2025-05-03T23:19:12.970Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1131.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1131.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.7369549998939 ms
[INFO] 2025-05-03T23:19:13.070Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1135.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1135.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.82459000002564 ms
[INFO] 2025-05-03T23:19:13.170Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1136.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1136.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 99.84815500001787 ms
[INFO] 2025-05-03T23:19:13.285Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1146.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1146.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 115.04154499994002 ms
[INFO] 2025-05-03T23:19:13.384Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1147.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1147.nexus	 FilePathLocal: /tmp/files	 FileSize: 409 bytes	 TransferDuration: 98.22165200000654 ms
[INFO] 2025-05-03T23:19:13.490Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1166.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1166.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 106.05239899996377 ms
[INFO] 2025-05-03T23:19:13.590Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1305.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1305.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 99.97616800001197 ms
[INFO] 2025-05-03T23:19:13.696Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1311.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1311.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 106.18685699989783 ms
[INFO] 2025-05-03T23:19:13.810Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1313.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1313.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 113.38268499991955 ms
[INFO] 2025-05-03T23:19:13.910Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1314.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1314.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 99.77662100004636 ms
[INFO] 2025-05-03T23:19:14.050Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1316.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1316.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 139.7550000000365 ms
[INFO] 2025-05-03T23:19:14.150Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1334.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1334.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 99.84999800008154 ms
[INFO] 2025-05-03T23:19:14.251Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1352.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1352.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 101.10574599991651 ms
[INFO] 2025-05-03T23:19:14.370Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1359.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1359.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 118.4923720001052 ms
[INFO] 2025-05-03T23:19:14.470Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1363.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1363.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 99.8220260000835 ms
