[INFO] 2025-04-20T22:00:29.082Z FILE_METRICS_START RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 S3Key: tree	 Provider: aws_lambda	 StartTime: 1494.575633334 ms	 ExecutionTag: file_metrics_tag_1745186429082
[INFO] 2025-04-20T22:00:31.586Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1034.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1034.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 119.73018100002264 ms
[INFO] 2025-04-20T22:00:31.726Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1038.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1038.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 139.6420449998459 ms
[INFO] 2025-04-20T22:00:31.846Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1039.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1039.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.78435600008197 ms
[INFO] 2025-04-20T22:00:31.966Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1042.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1042.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.92169699988153 ms
[INFO] 2025-04-20T22:00:32.106Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1043.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1043.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 139.47764799991091 ms
[INFO] 2025-04-20T22:00:32.215Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1074.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1074.nexus	 FilePathLocal: /tmp/files	 FileSize: 397 bytes	 TransferDuration: 108.60316799994507 ms
[INFO] 2025-04-20T22:00:32.346Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1083.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1083.nexus	 FilePathLocal: /tmp/files	 FileSize: 397 bytes	 TransferDuration: 131.11851400003616 ms
[INFO] 2025-04-20T22:00:32.466Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1087.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1087.nexus	 FilePathLocal: /tmp/files	 FileSize: 395 bytes	 TransferDuration: 119.63057499997376 ms
[INFO] 2025-04-20T22:00:32.586Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1092.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1092.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.96504299986555 ms
[INFO] 2025-04-20T22:00:32.687Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1100.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1100.nexus	 FilePathLocal: /tmp/files	 FileSize: 413 bytes	 TransferDuration: 99.89477400017677 ms
