[INFO] 2025-04-20T21:49:23.147Z FILE_METRICS_START RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 S3Key: tree	 Provider: aws_lambda	 StartTime: 828.634293773 ms	 ExecutionTag: file_metrics_tag_1745185763146
[INFO] 2025-04-20T21:49:25.733Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1038.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1038.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.84332199995151 ms
[INFO] 2025-04-20T21:49:25.853Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1039.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1039.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.77540599991698 ms
[INFO] 2025-04-20T21:49:25.972Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1042.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1042.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.71936100007952 ms
[INFO] 2025-04-20T21:49:26.092Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1043.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1043.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 119.7164850000263 ms
[INFO] 2025-04-20T21:49:26.212Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1074.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1074.nexus	 FilePathLocal: /tmp/files	 FileSize: 397 bytes	 TransferDuration: 119.82970400003978 ms
[INFO] 2025-04-20T21:49:26.332Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1083.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1083.nexus	 FilePathLocal: /tmp/files	 FileSize: 397 bytes	 TransferDuration: 119.74156100006894 ms
[INFO] 2025-04-20T21:49:26.432Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1087.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1087.nexus	 FilePathLocal: /tmp/files	 FileSize: 395 bytes	 TransferDuration: 99.81891900008577 ms
[INFO] 2025-04-20T21:49:26.572Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1092.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1092.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 139.75274000006266 ms
[INFO] 2025-04-20T21:49:26.672Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1100.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1100.nexus	 FilePathLocal: /tmp/files	 FileSize: 413 bytes	 TransferDuration: 99.8770340000874 ms
[INFO] 2025-04-20T21:49:26.800Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1104.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1104.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 127.72876999997607 ms
[INFO] 2025-04-20T21:49:26.932Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1113.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1113.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 131.69108900001447 ms
[INFO] 2025-04-20T21:49:27.052Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1125.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1125.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.93570399999953 ms
[INFO] 2025-04-20T21:49:27.187Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1126.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1126.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 134.0912919999937 ms
