[INFO] 2025-04-20T21:58:06.840Z FILE_METRICS_START RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 1352.332139576 ms	 ExecutionTag: file_metrics_tag_1745186286839
[INFO] 2025-04-20T21:58:08.848Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1023	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1023	 FilePathLocal: /tmp/files	 FileSize: 5109 bytes	 TransferDuration: 119.76921100017535 ms
[INFO] 2025-04-20T21:58:08.968Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1027	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1027	 FilePathLocal: /tmp/files	 FileSize: 4424 bytes	 TransferDuration: 119.82490400009738 ms
[INFO] 2025-04-20T21:58:09.088Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1029	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1029	 FilePathLocal: /tmp/files	 FileSize: 3323 bytes	 TransferDuration: 119.92501800000355 ms
[INFO] 2025-04-20T21:58:09.228Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1033	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1033	 FilePathLocal: /tmp/files	 FileSize: 4282 bytes	 TransferDuration: 139.63337600011982 ms
[INFO] 2025-04-20T21:58:09.328Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1034	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1034	 FilePathLocal: /tmp/files	 FileSize: 4954 bytes	 TransferDuration: 99.9329480000597 ms
[INFO] 2025-04-20T21:58:09.469Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1038	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1038	 FilePathLocal: /tmp/files	 FileSize: 4602 bytes	 TransferDuration: 140.72997699986445 ms
[INFO] 2025-04-20T21:58:09.608Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1039	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1039	 FilePathLocal: /tmp/files	 FileSize: 4621 bytes	 TransferDuration: 138.83721100000912 ms
[INFO] 2025-04-20T21:58:09.708Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1042	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1042	 FilePathLocal: /tmp/files	 FileSize: 3541 bytes	 TransferDuration: 99.76588199992875 ms
[INFO] 2025-04-20T21:58:09.848Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1043	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1043	 FilePathLocal: /tmp/files	 FileSize: 4042 bytes	 TransferDuration: 140.49428900011662 ms
[INFO] 2025-04-20T21:58:09.928Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1074	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1074	 FilePathLocal: /tmp/files	 FileSize: 4964 bytes	 TransferDuration: 79.15799400007018 ms
