[INFO] 2025-05-07T17:03:53.780Z FILE_METRICS_START RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 432.437500842 ms	 ExecutionTag: file_metrics_tag_1746637433779
[INFO] 2025-05-07T17:03:57.702Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1087	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1087	 FilePathLocal: /tmp/files	 FileSize: 4000 bytes	 TransferDuration: 99.79199000002836 ms
[INFO] 2025-05-07T17:03:57.802Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1092	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1092	 FilePathLocal: /tmp/files	 FileSize: 2936 bytes	 TransferDuration: 99.84840300000997 ms
[INFO] 2025-05-07T17:03:57.922Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1100	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1100	 FilePathLocal: /tmp/files	 FileSize: 3467 bytes	 TransferDuration: 119.45237999998426 ms
[INFO] 2025-05-07T17:03:58.042Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1104	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1104	 FilePathLocal: /tmp/files	 FileSize: 4686 bytes	 TransferDuration: 119.82561500002475 ms
[INFO] 2025-05-07T17:03:58.142Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1113	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1113	 FilePathLocal: /tmp/files	 FileSize: 3462 bytes	 TransferDuration: 99.72261000001481 ms
[INFO] 2025-05-07T17:03:58.282Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1125	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1125	 FilePathLocal: /tmp/files	 FileSize: 2207 bytes	 TransferDuration: 139.81694399996059 ms
[INFO] 2025-05-07T17:03:58.422Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1126	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1126	 FilePathLocal: /tmp/files	 FileSize: 2026 bytes	 TransferDuration: 139.69357900003843 ms
[INFO] 2025-05-07T17:03:58.602Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1127	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1127	 FilePathLocal: /tmp/files	 FileSize: 4234 bytes	 TransferDuration: 179.70454700002847 ms
[INFO] 2025-05-07T17:03:58.742Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1129	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1129	 FilePathLocal: /tmp/files	 FileSize: 3292 bytes	 TransferDuration: 139.80954499999143 ms
[INFO] 2025-05-07T17:03:58.882Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1131	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1131	 FilePathLocal: /tmp/files	 FileSize: 4467 bytes	 TransferDuration: 139.1101290000165 ms
[INFO] 2025-05-07T17:03:58.982Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1135	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1135	 FilePathLocal: /tmp/files	 FileSize: 4854 bytes	 TransferDuration: 100.19270800000868 ms
