[INFO] 2025-04-20T21:50:12.164Z FILE_METRICS_START RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 S3Key: subtree	 Provider: aws_lambda	 StartTime: 877.652056142 ms	 ExecutionTag: file_metrics_tag_1745185812164
[INFO] 2025-04-20T21:50:15.392Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1005_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 112.20623400004115 ms
[INFO] 2025-04-20T21:50:15.532Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1005_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 243 bytes	 TransferDuration: 139.8441730000286 ms
[INFO] 2025-04-20T21:50:15.652Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1005_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.76846100003513 ms
[INFO] 2025-04-20T21:50:15.772Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1006_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1006_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 191 bytes	 TransferDuration: 119.80281099999956 ms
[INFO] 2025-04-20T21:50:15.892Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1006_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1006_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.78966399999535 ms
[INFO] 2025-04-20T21:50:16.012Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1006_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1006_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 249 bytes	 TransferDuration: 119.70568199990339 ms
[INFO] 2025-04-20T21:50:16.193Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1006_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1006_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 179.86810900004002 ms
[INFO] 2025-04-20T21:50:16.312Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1007_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.74916600001961 ms
[INFO] 2025-04-20T21:50:16.432Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1007_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.8071759999948 ms
[INFO] 2025-04-20T21:50:16.552Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1007_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 119.76872100001401 ms
[INFO] 2025-04-20T21:50:16.672Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1007_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.7796550000021 ms
[INFO] 2025-04-20T21:50:16.793Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.811673000072 ms
[INFO] 2025-04-20T21:50:16.912Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.69842299993161 ms
[INFO] 2025-04-20T21:50:17.032Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 119.8456490000126 ms
[INFO] 2025-04-20T21:50:17.172Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 139.70566700004383 ms
[INFO] 2025-04-20T21:50:17.292Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.73796000006587 ms
[INFO] 2025-04-20T21:50:17.412Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 191 bytes	 TransferDuration: 119.79424999992716 ms
[INFO] 2025-04-20T21:50:17.533Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.83543100006955 ms
[INFO] 2025-04-20T21:50:17.652Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.68430699994315 ms
[INFO] 2025-04-20T21:50:17.772Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.78859800001374 ms
[INFO] 2025-04-20T21:50:17.872Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 99.84133000000384 ms
[INFO] 2025-04-20T21:50:17.992Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 119.76966300005643 ms
[INFO] 2025-04-20T21:50:18.113Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.82106000004933 ms
[INFO] 2025-04-20T21:50:18.232Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.74477000001116 ms
[INFO] 2025-04-20T21:50:18.352Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 193 bytes	 TransferDuration: 119.72236499991595 ms
[INFO] 2025-04-20T21:50:18.472Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 249 bytes	 TransferDuration: 119.85063099996296 ms
[INFO] 2025-04-20T21:50:18.593Z FILE_TRANSFER RequestId: c2e97027-5b42-4c93-a2b4-a62f72cc03c0	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 119.79678899990631 ms
