[INFO] 2025-04-20T21:45:48.988Z FILE_METRICS_START RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 614.472896783 ms	 ExecutionTag: file_metrics_tag_1745185548987
[INFO] 2025-04-20T21:45:52.614Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1087	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1087	 FilePathLocal: /tmp/files	 FileSize: 4000 bytes	 TransferDuration: 119.61308599995846 ms
[INFO] 2025-04-20T21:45:52.774Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1092	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1092	 FilePathLocal: /tmp/files	 FileSize: 2936 bytes	 TransferDuration: 159.75160200002847 ms
[INFO] 2025-04-20T21:45:52.894Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1100	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1100	 FilePathLocal: /tmp/files	 FileSize: 3467 bytes	 TransferDuration: 119.78264599997601 ms
[INFO] 2025-04-20T21:45:53.000Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1104	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1104	 FilePathLocal: /tmp/files	 FileSize: 4686 bytes	 TransferDuration: 105.28297899998051 ms
[INFO] 2025-04-20T21:45:53.134Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1113	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1113	 FilePathLocal: /tmp/files	 FileSize: 3462 bytes	 TransferDuration: 134.34683200000563 ms
[INFO] 2025-04-20T21:45:53.255Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1125	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1125	 FilePathLocal: /tmp/files	 FileSize: 2207 bytes	 TransferDuration: 119.85735900009331 ms
[INFO] 2025-04-20T21:45:53.374Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1126	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1126	 FilePathLocal: /tmp/files	 FileSize: 2026 bytes	 TransferDuration: 119.70412100004069 ms
[INFO] 2025-04-20T21:45:53.495Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1127	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1127	 FilePathLocal: /tmp/files	 FileSize: 4234 bytes	 TransferDuration: 120.14270800000304 ms
[INFO] 2025-04-20T21:45:53.615Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1129	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1129	 FilePathLocal: /tmp/files	 FileSize: 3292 bytes	 TransferDuration: 119.43164299998443 ms
[INFO] 2025-04-20T21:45:53.734Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1131	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1131	 FilePathLocal: /tmp/files	 FileSize: 4467 bytes	 TransferDuration: 119.71554699994158 ms
[INFO] 2025-04-20T21:45:53.855Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1135	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1135	 FilePathLocal: /tmp/files	 FileSize: 4854 bytes	 TransferDuration: 120.03310199997941 ms
[INFO] 2025-04-20T21:45:53.977Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1136	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1136	 FilePathLocal: /tmp/files	 FileSize: 4825 bytes	 TransferDuration: 122.39980399999695 ms
