[INFO] 2025-04-24T19:18:15.869Z START RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_dd5bb0860cd8cfcf1de73c7e51fea56058e02019372b37c0fbe797a9a837ad38.json	 Bucket: denethor	 FilePath: mafdb/mafdb_dd5bb0860cd8cfcf1de73c7e51fea56058e02019372b37c0fbe797a9a837ad38.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_4a69772641578ec2d1db9c6dd1aabd576f4015e01037c89e4cf54545772984e3.json	 Bucket: denethor	 FilePath: mafdb/mafdb_4a69772641578ec2d1db9c6dd1aabd576f4015e01037c89e4cf54545772984e3.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_fac1936d51dfedc6b2390b5bce6179113332479afc4a5757defe3114aec8f0bb.json	 Bucket: denethor	 FilePath: mafdb/mafdb_fac1936d51dfedc6b2390b5bce6179113332479afc4a5757defe3114aec8f0bb.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_050eb4506b88aa955760b80fe61fa5f2dc7867810f3fd968c62f0f2b1721b84a.json	 Bucket: denethor	 FilePath: mafdb/mafdb_050eb4506b88aa955760b80fe61fa5f2dc7867810f3fd968c62f0f2b1721b84a.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_07f2663350ea1ac790cef8d65d693e9f9a8a7ff3d9613fcbba8694ef3a437497.json	 Bucket: denethor	 FilePath: mafdb/mafdb_07f2663350ea1ac790cef8d65d693e9f9a8a7ff3d9613fcbba8694ef3a437497.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_bbfa141f6d386c293116f72d99a69176e8fb9e24cdaec03b209b077478ad859d.json	 Bucket: denethor	 FilePath: mafdb/mafdb_bbfa141f6d386c293116f72d99a69176e8fb9e24cdaec03b209b077478ad859d.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_f4fb8761643a453074d9572d96789515b973db43273265bfc07d10c2b3697e6d.json	 Bucket: denethor	 FilePath: mafdb/mafdb_f4fb8761643a453074d9572d96789515b973db43273265bfc07d10c2b3697e6d.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_a2b1b534b2611b710744fb6756c33616a3588ee03d8aa6972d23e492b2c485de.json	 Bucket: denethor	 FilePath: mafdb/mafdb_a2b1b534b2611b710744fb6756c33616a3588ee03d8aa6972d23e492b2c485de.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_5bec77bc9d7c4d8fa3517dfa40512bc1eb17b502f07bd7ca8c55258b719bc02b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_5bec77bc9d7c4d8fa3517dfa40512bc1eb17b502f07bd7ca8c55258b719bc02b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_8bc6b1285675133cf71abced5feadde67801ce1183d48ccdfce4ad5c847e0d16.json	 Bucket: denethor	 FilePath: mafdb/mafdb_8bc6b1285675133cf71abced5feadde67801ce1183d48ccdfce4ad5c847e0d16.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
