[INFO] 2025-04-18T22:10:22.316Z START RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL374_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL374_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 239 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL374_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL374_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL374_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL374_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 297 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL374_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL374_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 353 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL374_Inner6.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL374_Inner6.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 465 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL374_Inner7.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL374_Inner7.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 563 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL421_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL421_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL421_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL421_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 249 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL421_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL421_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL421_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL421_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 305 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL421_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL421_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL421_Inner6.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL421_Inner6.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 521 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:10:22.317Z FILE_TRANSFER RequestId: uuid_dd9a864f_8273_4a30_8202_43cb3fe553a1	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL424_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL424_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
