[INFO] 2025-04-18T22:09:39.971Z START RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL337_Inner6.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL337_Inner6.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 191 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL337_Inner7.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL337_Inner7.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 581 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 239 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 355 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner6.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner6.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner7.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner7.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 567 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-18T22:09:39.972Z FILE_TRANSFER RequestId: uuid_25f49fd6_7d34_414d_8e7a_7c69f90a7c1f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL364_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL364_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
