[INFO] 2025-04-22T16:16:39.906Z START RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_a0bb27000c08353bd1576c76b737091f2d774cc5766e59661908d2047f1f9f55.json	 Bucket: denethor	 FilePath: mafdb/mafdb_a0bb27000c08353bd1576c76b737091f2d774cc5766e59661908d2047f1f9f55.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_fc2a84852f95eebd03a586abcf5a76c64db1efd965d2c472f2b8a03ed0c40edf.json	 Bucket: denethor	 FilePath: mafdb/mafdb_fc2a84852f95eebd03a586abcf5a76c64db1efd965d2c472f2b8a03ed0c40edf.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_076c9c757bf558a92d6744f8a09864a7bc11e5da777c7ae15a8572da59fdf706.json	 Bucket: denethor	 FilePath: mafdb/mafdb_076c9c757bf558a92d6744f8a09864a7bc11e5da777c7ae15a8572da59fdf706.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_ab45c1cad0178810135c04d1f2e046750c9f309258c675f469c4e780098de65e.json	 Bucket: denethor	 FilePath: mafdb/mafdb_ab45c1cad0178810135c04d1f2e046750c9f309258c675f469c4e780098de65e.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_61d06c5f6cb647c45e49e6fed379994aa1917c44d4f989fceae6c09f558582c8.json	 Bucket: denethor	 FilePath: mafdb/mafdb_61d06c5f6cb647c45e49e6fed379994aa1917c44d4f989fceae6c09f558582c8.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_c8628e7d7833590863c05945da0a15b09c0de52179e14bd524127f896a661506.json	 Bucket: denethor	 FilePath: mafdb/mafdb_c8628e7d7833590863c05945da0a15b09c0de52179e14bd524127f896a661506.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_189694465e52809f6509269ecbf4093c7dba28229b686a1943d55421c969f8e4.json	 Bucket: denethor	 FilePath: mafdb/mafdb_189694465e52809f6509269ecbf4093c7dba28229b686a1943d55421c969f8e4.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_3b4259b136e5e067f460a57ff21fd5c531cf82501ea56dcbb754d3f18d8bf7b8.json	 Bucket: denethor	 FilePath: mafdb/mafdb_3b4259b136e5e067f460a57ff21fd5c531cf82501ea56dcbb754d3f18d8bf7b8.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_af818f20f62fe0eeda8042dfb7efb70bbde191b72d033f6a645874911e2ac0ea.json	 Bucket: denethor	 FilePath: mafdb/mafdb_af818f20f62fe0eeda8042dfb7efb70bbde191b72d033f6a645874911e2ac0ea.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_4e1eee323294b31497381cadce8756e0c91a4a8f4488ecc02e34152dbd13d2c8.json	 Bucket: denethor	 FilePath: mafdb/mafdb_4e1eee323294b31497381cadce8756e0c91a4a8f4488ecc02e34152dbd13d2c8.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
