[INFO] 2025-04-22T16:16:00.077Z START RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL540_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL540_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 249 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL540_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL540_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 463 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 309 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 365 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 463 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL613_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL613_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL613_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL613_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL613_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL613_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 299 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL613_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL613_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.077Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL613_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL613_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 455 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 301 bytes	 TransferDuration: 0 ms
