[INFO] 2025-04-22T16:17:12.981Z START RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_028a779bdcb28d0db67ae99e8c383a2e5e0fd59fada6888e043db6f251521c76.json	 Bucket: denethor	 FilePath: mafdb/mafdb_028a779bdcb28d0db67ae99e8c383a2e5e0fd59fada6888e043db6f251521c76.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_076c9c757bf558a92d6744f8a09864a7bc11e5da777c7ae15a8572da59fdf706.json	 Bucket: denethor	 FilePath: mafdb/mafdb_076c9c757bf558a92d6744f8a09864a7bc11e5da777c7ae15a8572da59fdf706.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_61d06c5f6cb647c45e49e6fed379994aa1917c44d4f989fceae6c09f558582c8.json	 Bucket: denethor	 FilePath: mafdb/mafdb_61d06c5f6cb647c45e49e6fed379994aa1917c44d4f989fceae6c09f558582c8.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_3f39c4961a0fcb5dacda7fdb89b2d0ebbaf953f20134fdb2d43aa99c3b398820.json	 Bucket: denethor	 FilePath: mafdb/mafdb_3f39c4961a0fcb5dacda7fdb89b2d0ebbaf953f20134fdb2d43aa99c3b398820.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_c8628e7d7833590863c05945da0a15b09c0de52179e14bd524127f896a661506.json	 Bucket: denethor	 FilePath: mafdb/mafdb_c8628e7d7833590863c05945da0a15b09c0de52179e14bd524127f896a661506.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_3b4259b136e5e067f460a57ff21fd5c531cf82501ea56dcbb754d3f18d8bf7b8.json	 Bucket: denethor	 FilePath: mafdb/mafdb_3b4259b136e5e067f460a57ff21fd5c531cf82501ea56dcbb754d3f18d8bf7b8.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_0a8e580175a5a3df6e03961614b2b8cbb71dfdf569da590702b160aaf877127b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_0a8e580175a5a3df6e03961614b2b8cbb71dfdf569da590702b160aaf877127b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_4e1eee323294b31497381cadce8756e0c91a4a8f4488ecc02e34152dbd13d2c8.json	 Bucket: denethor	 FilePath: mafdb/mafdb_4e1eee323294b31497381cadce8756e0c91a4a8f4488ecc02e34152dbd13d2c8.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_2cd07b4754913f8c45ff5e321c894937faa1dcee4409f0a9352ab164f3ab8dc2.json	 Bucket: denethor	 FilePath: mafdb/mafdb_2cd07b4754913f8c45ff5e321c894937faa1dcee4409f0a9352ab164f3ab8dc2.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.981Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_42c39b281fccc83198017a319f363d9a14901ad1e7f2e87df206a5e5a893b775.json	 Bucket: denethor	 FilePath: mafdb/mafdb_42c39b281fccc83198017a319f363d9a14901ad1e7f2e87df206a5e5a893b775.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_d8f27b52bb176ffe9ae04a4199d3cd7bad0db0e653726abeb7d7e0563bf138c8.json	 Bucket: denethor	 FilePath: mafdb/mafdb_d8f27b52bb176ffe9ae04a4199d3cd7bad0db0e653726abeb7d7e0563bf138c8.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_6febe45619a64f41534b7849821df9e5f2a16cc6502a1d862c57cbd0c8b5d2df.json	 Bucket: denethor	 FilePath: mafdb/mafdb_6febe45619a64f41534b7849821df9e5f2a16cc6502a1d862c57cbd0c8b5d2df.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_17282c44045cd04cec7b5d7a3e0512dd7a9b9a13307c311498bb91e52e2fe836.json	 Bucket: denethor	 FilePath: mafdb/mafdb_17282c44045cd04cec7b5d7a3e0512dd7a9b9a13307c311498bb91e52e2fe836.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_5973609f30a5418d722dad186d12ca55876737215f0dc764dd048c27e245ccae.json	 Bucket: denethor	 FilePath: mafdb/mafdb_5973609f30a5418d722dad186d12ca55876737215f0dc764dd048c27e245ccae.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_00a3f572cc1fc8e5d20ab4dfb79235b5a032989fc11491f76265acd17bc9137b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_00a3f572cc1fc8e5d20ab4dfb79235b5a032989fc11491f76265acd17bc9137b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_3c4715263643d510615654aef8ed8da557fffe96cf62eb913d276dfba2a90a55.json	 Bucket: denethor	 FilePath: mafdb/mafdb_3c4715263643d510615654aef8ed8da557fffe96cf62eb913d276dfba2a90a55.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_d654fe2f1d71c9b9393af17a389125cfb4f05a2ee4da5e63313ba90ce4460342.json	 Bucket: denethor	 FilePath: mafdb/mafdb_d654fe2f1d71c9b9393af17a389125cfb4f05a2ee4da5e63313ba90ce4460342.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_3354b6f44ea673c65d7f9920a6f70d1a0387c5a7d1dc001ef280c56e00ed5b8c.json	 Bucket: denethor	 FilePath: mafdb/mafdb_3354b6f44ea673c65d7f9920a6f70d1a0387c5a7d1dc001ef280c56e00ed5b8c.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_b01c70625d40044b20af14722564250f95f908a1e2ad6f32ed1c6589cfe47fc4.json	 Bucket: denethor	 FilePath: mafdb/mafdb_b01c70625d40044b20af14722564250f95f908a1e2ad6f32ed1c6589cfe47fc4.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
