[INFO] 2025-04-22T16:15:10.792Z START RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL964_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL964_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL964_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL964_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 249 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL964_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL964_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL964_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL964_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1000_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1000_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1000_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1000_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1000_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1000_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 191 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1000_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1000_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1005_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1005_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1005_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1005_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 405 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 399 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 191 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:10.793Z FILE_TRANSFER RequestId: uuid_8d12afdd_bfce_47e7_b12c_a8f5e86fd653	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
