[INFO] 2025-04-20T19:33:44.996Z FILE_METRICS_START RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 S3Key: tree	 Provider: aws_lambda	 StartTime: 138.348863741 ms	 ExecutionTag: file_metrics_tag_1745177624996
[INFO] 2025-04-20T19:33:47.907Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1034.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1034.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 319.7804339999948 ms
[INFO] 2025-04-20T19:33:48.007Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1038.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1038.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.78128800000263 ms
[INFO] 2025-04-20T19:33:48.107Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1039.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1039.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.80847100001711 ms
[INFO] 2025-04-20T19:33:48.213Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1042.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1042.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 105.71235000000456 ms
[INFO] 2025-04-20T19:33:48.327Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1043.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1043.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 113.83928699999046 ms
[INFO] 2025-04-20T19:33:48.432Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1074.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1074.nexus	 FilePathLocal: /tmp/files	 FileSize: 397 bytes	 TransferDuration: 104.4015649999892 ms
[INFO] 2025-04-20T19:33:48.547Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1083.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1083.nexus	 FilePathLocal: /tmp/files	 FileSize: 397 bytes	 TransferDuration: 115.19747500000221 ms
[INFO] 2025-04-20T19:33:48.647Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1087.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1087.nexus	 FilePathLocal: /tmp/files	 FileSize: 395 bytes	 TransferDuration: 99.78064300000256 ms
[INFO] 2025-04-20T19:33:48.747Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1092.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1092.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.7052950000068 ms
[INFO] 2025-04-20T19:33:48.887Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1100.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1100.nexus	 FilePathLocal: /tmp/files	 FileSize: 413 bytes	 TransferDuration: 139.74638100000902 ms
[INFO] 2025-04-20T19:33:48.987Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1104.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1104.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.92351900001495 ms
[INFO] 2025-04-20T19:33:49.096Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1113.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1113.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 108.09879199999273 ms
[INFO] 2025-04-20T19:33:49.207Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1125.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1125.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 111.48032000002672 ms
[INFO] 2025-04-20T19:33:49.307Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1126.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1126.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.78975800001422 ms
[INFO] 2025-04-20T19:33:49.427Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1127.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1127.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.63383200000521 ms
[INFO] 2025-04-20T19:33:49.527Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1129.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1129.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 100.05797200000188 ms
