[INFO] 2025-05-03T23:15:44.014Z FILE_METRICS_START RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 644.322883701 ms	 ExecutionTag: file_metrics_tag_1746314144013
[INFO] 2025-05-03T23:15:46.651Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1033	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1033	 FilePathLocal: /tmp/files	 FileSize: 4282 bytes	 TransferDuration: 99.85153300010552 ms
[INFO] 2025-05-03T23:15:46.771Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1034	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1034	 FilePathLocal: /tmp/files	 FileSize: 4954 bytes	 TransferDuration: 119.8097599999528 ms
[INFO] 2025-05-03T23:15:46.871Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1038	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1038	 FilePathLocal: /tmp/files	 FileSize: 4602 bytes	 TransferDuration: 99.85705299993697 ms
[INFO] 2025-05-03T23:15:46.991Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1039	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1039	 FilePathLocal: /tmp/files	 FileSize: 4621 bytes	 TransferDuration: 119.77941400004966 ms
[INFO] 2025-05-03T23:15:47.091Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1042	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1042	 FilePathLocal: /tmp/files	 FileSize: 3541 bytes	 TransferDuration: 99.95193099996413 ms
[INFO] 2025-05-03T23:15:47.191Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1043	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1043	 FilePathLocal: /tmp/files	 FileSize: 4042 bytes	 TransferDuration: 99.68973599995934 ms
[INFO] 2025-05-03T23:15:47.311Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1074	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1074	 FilePathLocal: /tmp/files	 FileSize: 4964 bytes	 TransferDuration: 119.79141699998763 ms
[INFO] 2025-05-03T23:15:47.411Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1083	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1083	 FilePathLocal: /tmp/files	 FileSize: 3087 bytes	 TransferDuration: 99.78038099995956 ms
[INFO] 2025-05-03T23:15:47.543Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1087	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1087	 FilePathLocal: /tmp/files	 FileSize: 4000 bytes	 TransferDuration: 132.13967199999388 ms
[INFO] 2025-05-03T23:15:47.651Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1092	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1092	 FilePathLocal: /tmp/files	 FileSize: 2936 bytes	 TransferDuration: 107.46340299999702 ms
[INFO] 2025-05-03T23:15:47.751Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1100	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1100	 FilePathLocal: /tmp/files	 FileSize: 3467 bytes	 TransferDuration: 99.83705700005885 ms
[INFO] 2025-05-03T23:15:47.861Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1104	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1104	 FilePathLocal: /tmp/files	 FileSize: 4686 bytes	 TransferDuration: 109.75874999996904 ms
[INFO] 2025-05-03T23:15:47.971Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1113	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1113	 FilePathLocal: /tmp/files	 FileSize: 3462 bytes	 TransferDuration: 109.75282200001857 ms
[INFO] 2025-05-03T23:15:48.071Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1125	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1125	 FilePathLocal: /tmp/files	 FileSize: 2207 bytes	 TransferDuration: 100.00384699992537 ms
[INFO] 2025-05-03T23:15:48.211Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1126	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1126	 FilePathLocal: /tmp/files	 FileSize: 2026 bytes	 TransferDuration: 139.61203199994543 ms
[INFO] 2025-05-03T23:15:48.312Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1127	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1127	 FilePathLocal: /tmp/files	 FileSize: 4234 bytes	 TransferDuration: 100.83012799998414 ms
[INFO] 2025-05-03T23:15:48.431Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1129	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1129	 FilePathLocal: /tmp/files	 FileSize: 3292 bytes	 TransferDuration: 118.73522899998079 ms
